,Country,Year,suicides_per_100k
227,Malta,2017,0.4451576463482472
228,Malta,2018,0.0
229,Malta,2019,0.0
230,Malta,2020,0.0
231,Mauritius,2015,9.005514145584527
232,Mauritius,2016,9.874731971560772
233,Mauritius,2017,0.6985009116095859
234,Mauritius,2018,0.7047060401079162
235,Mauritius,2019,0.8032376005791737
236,Mauritius,2020,0.8888081280515745
237,Mexico,2015,5.451307581032192
238,Mexico,2017,0.44319436272292256
239,Mexico,2018,0.44262525353247945
240,Mexico,2019,0.4465618935330731
241,Mexico,2020,0.4623739559072259
242,Mongolia,2016,19.514769635756593
243,Montenegro,2017,0.8033767531689195
244,Montenegro,2018,0.0
245,Montenegro,2019,0.46889636265034157
246,Montenegro,2020,0.0
247,Netherlands,2015,11.664446083293237
248,Netherlands,2016,13.244796852485688
249,Netherlands,2017,0.9325038806170882
250,Netherlands,2018,0.8850007404989803
251,Netherlands,2019,0.8700937618034392
252,Netherlands,2020,0.8714846773499985
253,Nicaragua,2015,5.751866663331192
254,Nicaragua,2017,0.43334919622854007
255,Nicaragua,2018,0.441250333029885
256,Nicaragua,2019,0.4301769748074358
257,Nicaragua,2020,0.0
258,North Macedonia,2017,0.4458901461652001
259,North Macedonia,2018,0.4655903822513093
260,North Macedonia,2019,0.42936834539256463
261,North Macedonia,2020,0.4221891011521661
262,Norway,2015,12.082961202021172
263,Panama,2015,3.069725750701432
264,Panama,2017,0.25227476563063933
265,Panama,2018,0.22007456126135536
266,Panama,2019,0.19885653945833529
267,Panama,2020,0.0
268,Paraguay,2017,0.46810556811179904
269,Paraguay,2018,0.5703574301975625
270,Paraguay,2019,0.6291450192286115
271,Paraguay,2020,0.0
272,Peru,2017,0.10124824532044847
273,Peru,2018,0.13637046029724392
274,Peru,2019,0.0
275,Peru,2020,0.0
276,Philippines,2017,0.19229237630009438
277,Philippines,2018,0.22896380074788064
278,Philippines,2019,0.2117668938160661
279,Philippines,2020,0.0
280,Poland,2015,15.01943589825302
281,Poland,2017,1.0592543597171453
282,Poland,2018,1.0370926295323428
283,Poland,2019,1.0700511451522732
284,Poland,2020,0.0
285,Portugal,2017,0.8575801999294519
286,Portugal,2018,0.8070929271237873
287,Portugal,2019,0.0
288,Portugal,2020,0.0
289,Puerto Rico,2015,6.513867476230869
290,Puerto Rico,2017,0.6189943762230777
291,Puerto Rico,2018,0.0
292,Puerto Rico,2019,0.0
293,Puerto Rico,2020,0.0
294,Qatar,2015,2.8035632439265687
295,Qatar,2016,3.0725839210779706
296,Republic of Korea,2015,27.757373517189187
297,Republic of Korea,2017,275.63490778289616
298,Republic of Korea,2018,276.5743462788179
299,Republic of Korea,2019,274.03275471631997
300,Republic of Korea,2020,0.0
301,Republic of Moldova,2017,39.30487846558726
302,Republic of Moldova,2018,38.08375622657732
303,Republic of Moldova,2019,0.0
304,Republic of Moldova,2020,0.0
305,Romania,2015,11.810902364072973
306,Romania,2016,11.733320196180152
307,Romania,2017,0.8214763789593481
308,Romania,2018,0.8335913700870102
309,Romania,2019,0.7493769588765327
310,Romania,2020,0.0
311,Russian Federation,2015,18.560937227489777
312,Russian Federation,2017,0.6342703692434194
313,Russian Federation,2018,0.6146847271133311
314,Russian Federation,2019,0.6014859240302145
315,Russian Federation,2020,0.0
316,Saint Vincent and Grenadines,2015,2.9718270792883463
317,Saint Vincent and the Grenadines,2017,0.0
318,Saint Vincent and the Grenadines,2018,0.0
319,Saint Vincent and the Grenadines,2019,0.0
320,Saint Vincent and the Grenadines,2020,0.0
321,Serbia,2015,15.695185893367913
322,Serbia,2017,0.0
323,Serbia,2018,1.1325765192087842
324,Serbia,2019,1.1290714665042532
325,Serbia,2020,1.0810548080051492
326,Seychelles,2015,8.144364681380818
327,Seychelles,2017,0.6086342595007808
328,Seychelles,2018,0.0
